time,RegionName,value
2010-08-01,77840,146800.0
2010-08-01,78748,185600.0
2010-08-01,78626,149100.0
2010-08-01,37129,146200.0
2010-08-01,43214,199300.0
2010-08-01,80910,129900.0
2010-08-01,70663,103500.0
2010-08-01,78728,176300.0
2010-08-01,75287,239100.0
2010-08-01,58078,171100.0
2010-08-01,76108,106100.0
2010-09-01,99301,158900.0
2010-09-01,76051,234700.0
2010-09-01,78210,70600.0
2010-09-01,76039,154200.0
2010-09-01,75028,228200.0
2010-09-01,15217,212500.0
2010-09-01,75035,241800.0
2010-09-01,2453,390900.0
2010-09-01,78602,127700.0
2010-09-01,76116,119700.0
2010-09-01,76021,171300.0
2010-09-01,75019,261500.0
2010-09-01,76040,144800.0
2010-09-01,43221,222000.0
2010-09-01,77840,146300.0
2010-09-01,78748,185100.0
2010-09-01,78626,150100.0
2010-09-01,37129,145400.0
2010-09-01,43214,198000.0
2010-09-01,80910,129000.0
2010-09-01,70663,103100.0
2010-09-01,78728,176500.0
2010-09-01,75287,237300.0
2010-09-01,58078,171100.0
2010-09-01,76108,104500.0
2010-10-01,99301,159700.0
2010-10-01,76051,233900.0
2010-10-01,78210,70300.0
2010-10-01,76039,153700.0
2010-10-01,75028,228400.0
2010-10-01,15217,212200.0
2010-10-01,75035,241400.0
2010-10-01,2453,389600.0
2010-10-01,78602,127300.0
2010-10-01,76116,118100.0
2010-10-01,76021,170600.0
2010-10-01,75019,260200.0
2010-10-01,76040,143100.0
2010-10-01,43221,221600.0
2010-10-01,77840,145900.0
2010-10-01,78748,185200.0
2010-10-01,78626,150400.0
2010-10-01,37129,144600.0
2010-10-01,43214,196900.0
2010-10-01,80910,128400.0
2010-10-01,70663,104000.0
2010-10-01,78728,176800.0
2010-10-01,75287,234400.0
2010-10-01,58078,170500.0
2010-10-01,76108,103200.0
2010-11-01,99301,159900.0
2010-11-01,76051,232100.0
2010-11-01,78210,69900.0
2010-11-01,76039,153500.0
2010-11-01,75028,228600.0
2010-11-01,15217,211600.0
2010-11-01,75035,241100.0
2010-11-01,2453,388000.0
2010-11-01,78602,126700.0
2010-11-01,76116,116800.0
2010-11-01,76021,169600.0
2010-11-01,75019,258800.0
2010-11-01,76040,141100.0
2010-11-01,43221,221500.0
2010-11-01,77840,145900.0
2010-11-01,78748,185600.0
2010-11-01,78626,150000.0
2010-11-01,37129,143900.0
2010-11-01,43214,196000.0
2010-11-01,80910,127800.0
2010-11-01,70663,105600.0
2010-11-01,78728,176500.0
2010-11-01,75287,232100.0
2010-11-01,58078,169500.0
2010-11-01,76108,102300.0
2010-12-01,99301,159700.0
2010-12-01,76051,230100.0
2010-12-01,78210,69100.0
2010-12-01,76039,154000.0
2010-12-01,75028,229000.0
2010-12-01,15217,211100.0
2010-12-01,75035,240600.0
2010-12-01,2453,386600.0
2010-12-01,78602,126300.0
2010-12-01,76116,116700.0
2010-12-01,76021,169000.0
2010-12-01,75019,258400.0
2010-12-01,76040,139900.0
2010-12-01,43221,221700.0
2010-12-01,77840,146100.0
2010-12-01,78748,185800.0
2010-12-01,78626,149600.0
2010-12-01,37129,143400.0
2010-12-01,43214,195500.0
2010-12-01,80910,126900.0
2010-12-01,70663,106600.0
2010-12-01,78728,175800.0
2010-12-01,75287,231200.0
2010-12-01,58078,168800.0
2010-12-01,76108,101700.0
2011-01-01,99301,160000.0
2011-01-01,76051,228900.0
2011-01-01,78210,68600.0
2011-01-01,76039,154100.0
2011-01-01,75028,229400.0
2011-01-01,15217,210600.0
2011-01-01,75035,240200.0
2011-01-01,2453,383700.0
2011-01-01,78602,126300.0
2011-01-01,76116,116800.0
2011-01-01,76021,168600.0
2011-01-01,75019,258300.0
2011-01-01,76040,139200.0
2011-01-01,43221,221500.0
2011-01-01,77840,146000.0
2011-01-01,78748,185100.0
2011-01-01,78626,149700.0
2011-01-01,37129,142900.0
2011-01-01,43214,195100.0
2011-01-01,80910,125600.0
2011-01-01,70663,107500.0
2011-01-01,78728,174800.0
2011-01-01,75287,230300.0
2011-01-01,58078,168700.0
2011-01-01,76108,101100.0
2011-02-01,99301,160500.0
2011-02-01,76051,228200.0
2011-02-01,78210,68400.0
2011-02-01,76039,153700.0
2011-02-01,75028,229100.0
2011-02-01,15217,209700.0
2011-02-01,75035,240200.0
2011-02-01,2453,379000.0
2011-02-01,78602,126800.0
2011-02-01,76116,116400.0
